CSV Converter: v1.050,Filter: v1.008,File system version: v4,Unit: 174,Time stamps indicate the beginning of the averaging period,38m is a fixed reference measurement,The GPS field contains WGS84 datum and the latitude and longitude are in degrees and decimal minutes correct to the nearest 0.001 minutes,Measurement heights: 148m 90m 69m 44m 19m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time and Date,Status Flags,Battery (V),Generator (V),Optics Temp. (C),Electronics Temp. (C),Battery Temp. (C),GPS Data,ZephIR Bearing (deg),Tilt (degs),Air Temp. (C),Pressure (mbar),Humidity (%),MET Wind Speed (m/s),MET Direction (deg),Raining,Packets in Average at 148m,Wind Direction (deg) at 148m,Horizontal Wind Speed (m/s) at 148m,Vertical Wind Speed (m/s) at 148m,Horizontal Std.Dev. (m/s) at 148m,Horizontal Variance ((m/s)^2) at 148m,Horizontal Min (m/s) at 148m,Horizontal Max (m/s) at 148m,TI at 148m,Packets in Average at 90m,Wind Direction (deg) at 90m,Horizontal Wind Speed (m/s) at 90m,Vertical Wind Speed (m/s) at 90m,Horizontal Std.Dev. (m/s) at 90m,Horizontal Variance ((m/s)^2) at 90m,Horizontal Min (m/s) at 90m,Horizontal Max (m/s) at 90m,TI at 90m,Packets in Average at 69m,Wind Direction (deg) at 69m,Horizontal Wind Speed (m/s) at 69m,Vertical Wind Speed (m/s) at 69m,Horizontal Std.Dev. (m/s) at 69m,Horizontal Variance ((m/s)^2) at 69m,Horizontal Min (m/s) at 69m,Horizontal Max (m/s) at 69m,TI at 69m,Packets in Average at 44m,Wind Direction (deg) at 44m,Horizontal Wind Speed (m/s) at 44m,Vertical Wind Speed (m/s) at 44m,Horizontal Std.Dev. (m/s) at 44m,Horizontal Variance ((m/s)^2) at 44m,Horizontal Min (m/s) at 44m,Horizontal Max (m/s) at 44m,TI at 44m,Packets in Average at 19m,Wind Direction (deg) at 19m,Horizontal Wind Speed (m/s) at 19m,Vertical Wind Speed (m/s) at 19m,Horizontal Std.Dev. (m/s) at 19m,Horizontal Variance ((m/s)^2) at 19m,Horizontal Min (m/s) at 19m,Horizontal Max (m/s) at 19m,TI at 19m
05/09/2013 10:40,Green,26.495,2.26,19.1,17.4,20.8,N51535775W8296530,340.609,1,14,1011.5,69.5,1.2,349.899,5,17,341.649,4.736,9998,0.34,0.116,4.175,5.415,0.08751497,17,346.284,4.664,9998,0.384,0.147,3.856,5.38,0.1003753,17,346.492,4.578,9998,0.458,0.21,3.085,5.317,0.1220936,17,348.571,4.341,9998,0.574,0.33,2.884,5.162,0.1612789,18,352.331,4.165,9998,0.907,0.822,2.523,6.431,0.2655288
05/09/2013 10:50,Green,27.041,2.26,22,20.2,21.4,N51535783W8296562,340.631,0.9,14.8,1011.2,66.7,2.8,6.991,2,25,340.498,4.92,9998,0.82,0.672,3.674,6.94,0.2031457,26,343.742,4.707,9998,1.005,1.011,2.894,7.53,0.260466,25,345.861,4.649,9998,0.995,0.99,2.676,6.625,0.2609885,25,348.454,4.673,9998,0.982,0.965,2.738,6.856,0.2563533,24,351.247,4.226,9998,0.947,0.897,2.339,6.28,0.2733335
05/09/2013 11:00,Green,27.059,2.26,23.7,22.6,21.4,N51535764W8296559,340.62,0.7,15.4,1011.3,65.1,0.6,353.536,0,25,322.597,4.735,-0.082,0.629,0.396,3.316,6.585,0.1621189,25,324.429,4.465,0.088,0.636,0.404,2.798,6.205,0.1736189,26,323.847,4.329,-0.046,0.667,0.445,2.338,5.839,0.1879753,26,325.005,4.043,-0.033,0.664,0.441,2.434,5.188,0.2003799,26,324.999,3.743,-0.035,0.669,0.448,2.378,4.78,0.2181427
05/09/2013 11:10,Green,27.065,2.26,25.4,24.9,24.9,N51535761W8296562,340.654,0.7,15.7,1011.4,63.9,0.8,31.686,0,26,341.228,4.008,-0.081,0.51,0.261,3.228,5.185,0.1553032,25,345.461,3.518,0.075,0.628,0.394,2.273,4.689,0.2175494,25,343.566,3.283,0.102,0.692,0.478,1.847,4.728,0.256951,25,341.388,3.026,0.088,0.782,0.612,1.785,5.585,0.3152468,25,350,2.865,-0.128,0.765,0.586,1.309,4.788,0.325788
05/09/2013 11:20,Green,27.057,2.26,25.4,26,23.7,N51535786W8296577,340.725,0.5,17,1011.4,58.2,1.6,347.845,0,25,326.279,5.335,0.078,0.711,0.505,3.716,7.155,0.1624756,26,320.885,5.113,0.006,0.975,0.95,2.864,6.652,0.2325159,26,316.421,5.153,-0.018,1.049,1.101,2.505,7.107,0.2482831,25,315.169,4.998,-0.223,1.129,1.276,2.109,6.977,0.2755939,25,317.83,4.494,0.074,1.049,1.101,2.155,6.331,0.2847576
05/09/2013 11:30,Green,27.056,2.26,26.6,27.2,26,N51535771W8296571,340.672,0.7,15.8,1011.4,58.6,1.6,21.128,0,26,324.707,4.9,-0.042,0.542,0.294,3.844,6.413,0.1349171,26,317.547,4.257,0.051,0.603,0.364,3.377,5.74,0.1728229,25,312.251,4.13,-0.072,0.604,0.365,2.754,5.022,0.1783354,26,305.157,4.06,0.127,0.702,0.493,2.721,5.703,0.2108218,26,299.838,3.94,0.065,1.165,1.358,1.824,5.587,0.3606521
05/09/2013 11:40,Green,27.051,2.26,27.2,27.8,24.9,N51535765W8296579,340.771,0.6,17,1011.1,55.6,0.8,326.649,0,23,328.045,6.071,-0.304,1.724,2.973,3.613,9.129,0.3463766,21,321.932,5.22,0.069,1.611,2.594,2.923,8.327,0.3762646,21,313.085,4.749,-0.31,1.477,2.183,2.413,7.842,0.3793576,24,306.332,4.571,0.215,1.399,1.959,2.433,7.439,0.3733865,23,300.369,4.112,0.076,1.264,1.599,1.783,7.346,0.3750208
05/09/2013 11:50,Green,27.052,2.26,27.8,28.3,24.9,N51535781W8296563,340.764,0.7,17.5,1011.1,56.2,1.8,337.042,0,25,332.284,6.797,0.051,0.598,0.357,5.841,8.349,0.1072814,25,332.718,6.63,0.273,0.996,0.992,4.58,8.322,0.1831568,25,332.905,6.419,0.085,1.01,1.02,4.528,8.599,0.191893,24,330.347,5.996,0.03,1.274,1.624,3.564,8.274,0.2592221,25,329.958,5.45,-0.101,1.226,1.503,3.034,7.948,0.2743487
05/09/2013 12:00,Green,27.051,2.26,28.3,29.5,25.4,N51535775W8296556,340.677,0.4,16.2,1011.3,58.5,4.8,326.864,0,26,327.694,6.907,-0.041,0.653,0.426,6.019,8.865,0.1152518,25,329.269,7.202,-0.031,0.929,0.864,5.672,9.198,0.1573564,26,329.911,7.077,0.098,0.903,0.815,5.875,9.669,0.1555802,26,330.804,6.548,0.013,1.134,1.285,3.871,9.113,0.211128,25,329.105,6.045,0.242,1.242,1.542,3.919,9.021,0.2505498
05/09/2013 12:10,Green,27.06,2.26,28.9,30.1,26,N51535768W8296566,340.67,0.6,15.5,1011.4,62.5,5.8,325.145,0,25,332.285,7.453,0.097,0.57,0.325,6.155,8.844,0.09326208,26,330.211,7.781,-0.134,0.863,0.745,6.167,9.704,0.1353122,26,329.251,7.887,-0.03,0.959,0.92,6.061,9.909,0.1483558,25,327.966,7.638,0.1,0.956,0.914,5.512,9.358,0.1526192,25,326.666,7.208,0.038,1.343,1.803,4.446,9.571,0.227171
05/09/2013 12:20,Green,27.063,2.26,27.8,30.1,26,N51535777W8296537,340.688,0.7,15,1011.2,62.2,2.6,323.297,0,25,337.917,7.486,0.038,0.491,0.241,6.275,8.363,0.08003994,25,340.952,7.651,0.139,0.71,0.504,5.392,9.014,0.1131586,25,342.07,7.557,0.012,0.884,0.782,5.388,8.48,0.1427072,26,341.74,7.275,-0.048,1.103,1.217,4.075,8.567,0.184968,24,340.586,7.115,-0.396,1.048,1.097,4.481,8.82,0.1795377
05/09/2013 12:30,Green,27.056,2.26,28.3,30.6,26,N51535770W8296563,340.695,0.7,15,1011.3,59,0.9,350.382,0,26,340.739,6.923,-0.056,0.736,0.541,5.721,8.339,0.1295959,26,344.311,6.83,-0.078,1.155,1.333,3.886,9.048,0.206196,26,342.873,6.749,0.245,1.27,1.612,4.049,9.482,0.2293942,26,344.192,6.456,0.255,1.294,1.675,4.313,8.39,0.2445016,24,341.235,5.729,-0.222,1.484,2.203,3.249,8.287,0.3159546
05/09/2013 12:40,Green,27.063,2.26,28.9,31.2,26,N51535768W8296559,340.736,0.5,16.2,1011.3,56.3,2.9,346.498,0,25,348.989,6.865,0.173,1.102,1.215,5.242,8.641,0.1958286,25,349.888,6.849,0.063,1.168,1.364,4.273,9.346,0.2079245,25,348.371,6.752,0.158,1.076,1.157,4.174,9.427,0.1942766,25,348.565,6.639,0.04,1.11,1.231,4.579,8.729,0.2038131,26,346.825,6.004,-0.088,0.979,0.958,4.475,7.851,0.1988115
05/09/2013 12:50,Green,27.057,2.26,28.9,31.2,26.6,N51535787W8296555,340.684,0.4,16.7,1011.1,54.8,4.2,29.358,0,26,346.119,5.658,0.103,0.468,0.219,4.636,6.388,0.1009779,26,350.068,6.038,-0.015,0.778,0.605,4.383,7.409,0.157124,26,351.995,6.07,0.048,0.942,0.888,4.259,7.87,0.1892925,25,353.346,5.895,0.038,0.946,0.896,4.175,7.571,0.1957967,25,355.5,5.676,-0.194,1.047,1.097,3.422,7.768,0.225023
05/09/2013 13:00,Green,27.055,2.26,29.5,31.8,26.6,N51535770W8296571,340.698,0.6,17,1011.1,57.2,2.4,0.441,0,25,342.712,5.077,-0.008,0.632,0.4,3.791,6.169,0.1518564,25,346.309,5.154,0.041,0.822,0.676,3.514,6.477,0.1944616,25,345.03,5.144,-0.019,1.067,1.139,2.768,8.358,0.2530373,26,342.511,4.885,0.084,1.098,1.206,2.419,7.144,0.2742146,26,342.842,4.71,-0.016,1.093,1.195,2.412,6.604,0.2830916
05/09/2013 13:10,Green,27.05,2.26,30.1,31.8,27.2,N51535765W8296577,340.728,0.5,16.8,1011,55.7,2.1,26.887,0,26,353.715,4.392,-0.016,0.791,0.626,3.209,6.519,0.2197082,25,354.38,4.412,-0.062,0.926,0.857,2.885,6.364,0.2558642,25,356.929,4.343,-0.175,0.938,0.88,2.888,6.238,0.2633634,25,358.93,4.111,0.137,0.919,0.844,2.858,6.701,0.2724871,25,356.597,3.894,-0.106,0.792,0.627,2.426,5.358,0.2480959
05/09/2013 13:20,Green,27.055,2.26,30.1,32.4,27.8,N51535757W8296583,340.683,0.5,17.5,1010.8,55.3,2.8,30.696,0,25,328.286,4.477,-0.012,0.576,0.331,3.613,6.043,0.1568315,26,332.891,4.343,0.087,0.797,0.635,2.956,6.151,0.2238303,25,333.478,4.324,0.042,0.773,0.597,2.983,5.472,0.2178643,25,329.129,4.329,0.045,0.993,0.986,2.477,5.83,0.2798069,23,331.489,3.892,-0.02,0.985,0.971,2.262,5.667,0.3087086
05/09/2013 13:30,Green,27.054,2.26,30.1,33,27.8,N51535759W8296566,340.733,0.5,17.9,1010.4,53.3,0.6,349.689,0,26,332.743,4.985,0.002,0.697,0.485,3.535,6.012,0.1704617,25,340.469,5.056,-0.148,0.688,0.473,3.297,6.344,0.1658951,26,340.632,4.93,-0.082,0.744,0.554,3.315,6.348,0.1841473,26,344.451,4.62,-0.004,0.895,0.801,2.92,6.587,0.2361863,26,347.744,4.686,-0.101,0.871,0.758,3.171,6.477,0.2265968
05/09/2013 13:40,Green,27.046,2.26,30.6,33,27.8,N51535757W8296574,340.694,0.5,17.1,1010.8,54.4,0.8,28.906,0,25,355.036,4.33,0.003,0.527,0.277,3.501,5.886,0.1482924,26,359.266,4.124,-0.091,0.652,0.425,2.991,6.11,0.1928154,26,358.925,4.083,-0.102,0.566,0.32,3.089,5.382,0.1690217,25,357.972,3.802,0.088,0.507,0.257,2.917,5.128,0.162473,25,358.466,3.396,-0.043,0.781,0.609,1.594,4.928,0.2803147
05/09/2013 13:50,Green,26.986,2.26,30.6,33.5,27.8,N51535769W8296586,340.716,0.6,17.6,1010.6,54.3,1.3,356.002,0,25,330.469,4.557,-0.206,0.919,0.844,2.752,5.856,0.2459045,25,348.574,3.825,0.126,0.952,0.907,2.423,5.943,0.3036429,25,350.976,3.543,-0.121,0.984,0.968,2.069,5.247,0.338719,26,352.312,3.442,-0.108,0.858,0.737,2.114,5.354,0.3041885,25,356.899,3.115,-0.011,0.774,0.599,1.559,5.123,0.3029591
05/09/2013 14:00,Green,26.996,2.26,31.2,34.1,27.8,N51535766W8296555,340.717,0.5,17.7,1010.6,54.9,0.2,9.072,0,24,325.624,4.66,0.094,0.568,0.323,3.634,5.857,0.1487141,26,336.001,3.956,0.17,0.878,0.771,2.527,5.597,0.2707377,25,338.542,3.73,-0.212,0.999,0.998,2.248,5.584,0.3266253,25,337.254,3.433,0.108,0.871,0.759,2.137,5.296,0.3095384,26,338.854,3.24,-0.167,0.938,0.881,1.876,5.754,0.3531941
05/09/2013 14:10,Green,27.004,2.26,31.2,34.1,28.9,N51535778W8296564,340.705,0.6,17.6,1010.4,55.8,0.6,329.021,12,25,329.774,5.312,9998,1.146,1.312,3.858,8.966,0.2629984,25,330.637,5.016,9998,1.276,1.627,3.316,9.419,0.3101509,25,331.624,4.707,9998,1.025,1.05,3.004,6.859,0.2654831,25,333.183,4.401,9998,1.288,1.66,2.595,6.737,0.3569616,25,334.817,4.21,9998,1.254,1.571,2.325,6.123,0.3631224
05/09/2013 14:20,Green,26.979,2.26,30.6,34.7,29.5,N51535769W8296562,340.673,0.8,16.1,1010.4,57.5,7.1,331.547,54,22,324.347,8.984,9998,1.163,1.353,6.989,10.827,0.1579175,23,324.356,8.651,9998,1.266,1.604,6.579,10.524,0.1785017,23,324.367,8.262,9998,1.361,1.851,5.199,10.52,0.2008355,20,323.218,8.171,9998,1.176,1.383,5.356,10.422,0.1755201,16,316.02,6.87,9998,1.066,1.136,4.112,9.132,0.1892397
05/09/2013 14:30,Green,26.999,2.26,31.2,34.7,28.9,N51535759W8296572,340.595,0.7,14.8,1010.4,62.7,3.8,326.255,65,24,327.239,8.5,9998,0.935,0.875,7.114,10.248,0.1342008,24,323.685,8.008,9998,0.956,0.915,6.257,10.232,0.1456491,24,322.064,7.43,9998,1.006,1.012,5.192,9.827,0.1650916,21,320.572,6.366,9998,1.352,1.827,4.061,8.938,0.2589824,19,321.613,5.693,9998,1.536,2.359,2.821,8.807,0.3290174
05/09/2013 14:40,Green,27.003,2.26,30.6,34.7,28.3,N51535766W8296561,340.601,0.7,13.9,1010.7,65.5,1.6,333.937,8,25,327.278,6.665,9998,0.612,0.375,5.877,8.3,0.1120431,25,325.253,6.258,9998,0.822,0.676,4.982,8.38,0.1602437,25,323.903,5.571,9998,0.94,0.883,4.298,8.069,0.2057068,25,321.744,4.982,9998,0.93,0.864,3.681,7.184,0.2275621,25,318.296,4.633,9998,0.735,0.54,3.545,6.638,0.1934326
05/09/2013 14:50,Green,27.005,2.26,30.6,34.7,28.3,N51535769W8296549,340.558,0.8,14.5,1010.4,65.2,1.2,342.435,0,25,326.66,6.856,0.064,0.414,0.172,5.93,7.637,0.07373115,25,326.195,6.626,0.04,0.703,0.495,5.257,7.634,0.1294581,25,327.113,6.348,-0.185,0.901,0.813,4.374,7.621,0.1731791,25,325.899,5.641,-0.108,1.14,1.3,3.637,8.457,0.2465289,25,325.63,4.978,0.056,1.055,1.112,3.174,7.186,0.2583585
05/09/2013 15:00,Green,26.998,2.26,30.6,34.7,28.9,N51535789W8296546,340.603,0.6,16,1010.3,61.7,1.6,339.358,0,26,331.336,6.802,-0.033,0.507,0.257,5.943,8.193,0.09086412,26,328.885,6.814,-0.061,0.835,0.696,5.043,8.287,0.1493563,26,328.119,6.591,0.036,1.102,1.215,3.687,8.323,0.2039309,26,326.313,5.941,0.053,1.118,1.251,3.708,7.998,0.2295702,24,324.823,5.13,-0.217,1.161,1.349,3.111,7.581,0.2761304
05/09/2013 15:10,Green,27.004,2.26,30.6,34.7,28.3,N51535768W8296550,340.625,0.7,16.5,1010.1,57.5,1.9,336.65,0,25,338.681,6.407,-0.052,0.665,0.442,4.773,7.735,0.1266022,24,341.912,6.322,-0.026,1.078,1.163,3.89,7.812,0.2080171,24,343.173,6.068,-0.091,1.342,1.8,3.572,8.03,0.2696782,25,342.223,5.793,0.179,1.459,2.13,3.104,8.008,0.30719,26,340.733,5.2,0.075,1.132,1.282,3.225,7.389,0.2655011
05/09/2013 15:20,Green,27.001,2.26,30.6,35.3,28.9,N51535770W8296587,340.576,0.4,16.4,1010.1,57.3,3.4,0.098,0,25,337.973,6.476,-0.013,0.679,0.461,5.095,7.54,0.1279092,25,339.642,6.12,0.119,0.764,0.584,4.615,7.512,0.1522963,24,340.034,5.912,-0.014,0.784,0.615,3.886,6.931,0.1618204,25,341.858,5.816,-0.057,1.183,1.4,3.007,7.609,0.2480738,25,342.614,5.49,-0.118,1.172,1.373,3.299,7.424,0.2602579
05/09/2013 15:30,Green,26.998,2.26,30.1,35.3,28.9,N51535780W8296552,340.62,0.4,16.4,1010.1,54.7,0.7,340.042,0,26,336.207,5.43,0.106,0.584,0.342,4.395,6.908,0.1312522,26,341.974,5.503,-0.116,0.751,0.563,4.157,7.085,0.1663433,26,342.323,5.378,0.003,0.815,0.665,3.884,7.291,0.1848846,26,342.875,5.07,0.148,0.71,0.505,3.806,6.647,0.1708626,26,342.991,4.882,0.017,0.827,0.684,3.307,6.73,0.2066227
05/09/2013 15:40,Green,27.003,2.26,30.6,35.3,28.9,N51535759W8296568,340.533,0.6,16.4,1010.1,54.4,0.6,333.259,0,26,325.384,5.285,-0.103,0.401,0.161,4.69,6.322,0.0924972,26,326.431,4.934,0.185,0.417,0.174,4.239,5.521,0.1030771,25,328.378,4.716,0.038,0.509,0.259,3.559,5.523,0.1316102,25,330.333,4.46,0.063,0.798,0.636,2.798,5.607,0.2181095,25,332.998,4.049,0.054,0.874,0.765,2.34,5.641,0.2633597
